sentenceid,sentence_text,drug_pair,ddi_label,drug1,drug2,drug1offset,drug2offset,drugsinsent
DDI-DrugBank.d297.s2,"The majority of patients in RA clinical studies received one or more of the following concomitant medications with ORENCIA: MTX, NSAIDs, corticosteroids, TNF blocking agents, azathioprine, chloroquine, gold, hydroxychloroquine, leflunomide, sulfasalazine, and anakinra.",DDI-DrugBank.d297.s2.p22,0,NSAIDs,TNF blocking agents,129-134,154-172,"ORENCIA,MTX,NSAIDs,corticosteroids,TNF blocking agents,azathioprine,chloroquine,gold,hydroxychloroquine,leflunomide,sulfasalazine,anakinra,"
DDI-DrugBank.d297.s2,"The majority of patients in RA clinical studies received one or more of the following concomitant medications with ORENCIA: MTX, NSAIDs, corticosteroids, TNF blocking agents, azathioprine, chloroquine, gold, hydroxychloroquine, leflunomide, sulfasalazine, and anakinra.",DDI-DrugBank.d297.s2.p23,0,NSAIDs,azathioprine,129-134,175-186,"ORENCIA,MTX,NSAIDs,corticosteroids,TNF blocking agents,azathioprine,chloroquine,gold,hydroxychloroquine,leflunomide,sulfasalazine,anakinra,"
DDI-DrugBank.d297.s2,"The majority of patients in RA clinical studies received one or more of the following concomitant medications with ORENCIA: MTX, NSAIDs, corticosteroids, TNF blocking agents, azathioprine, chloroquine, gold, hydroxychloroquine, leflunomide, sulfasalazine, and anakinra.",DDI-DrugBank.d297.s2.p24,0,NSAIDs,chloroquine,129-134,189-199,"ORENCIA,MTX,NSAIDs,corticosteroids,TNF blocking agents,azathioprine,chloroquine,gold,hydroxychloroquine,leflunomide,sulfasalazine,anakinra,"
DDI-DrugBank.d297.s2,"The majority of patients in RA clinical studies received one or more of the following concomitant medications with ORENCIA: MTX, NSAIDs, corticosteroids, TNF blocking agents, azathioprine, chloroquine, gold, hydroxychloroquine, leflunomide, sulfasalazine, and anakinra.",DDI-DrugBank.d297.s2.p25,0,NSAIDs,gold,129-134,202-205,"ORENCIA,MTX,NSAIDs,corticosteroids,TNF blocking agents,azathioprine,chloroquine,gold,hydroxychloroquine,leflunomide,sulfasalazine,anakinra,"
DDI-DrugBank.d297.s2,"The majority of patients in RA clinical studies received one or more of the following concomitant medications with ORENCIA: MTX, NSAIDs, corticosteroids, TNF blocking agents, azathioprine, chloroquine, gold, hydroxychloroquine, leflunomide, sulfasalazine, and anakinra.",DDI-DrugBank.d297.s2.p26,0,NSAIDs,hydroxychloroquine,129-134,208-225,"ORENCIA,MTX,NSAIDs,corticosteroids,TNF blocking agents,azathioprine,chloroquine,gold,hydroxychloroquine,leflunomide,sulfasalazine,anakinra,"
DDI-DrugBank.d297.s2,"The majority of patients in RA clinical studies received one or more of the following concomitant medications with ORENCIA: MTX, NSAIDs, corticosteroids, TNF blocking agents, azathioprine, chloroquine, gold, hydroxychloroquine, leflunomide, sulfasalazine, and anakinra.",DDI-DrugBank.d297.s2.p27,0,NSAIDs,leflunomide,129-134,228-238,"ORENCIA,MTX,NSAIDs,corticosteroids,TNF blocking agents,azathioprine,chloroquine,gold,hydroxychloroquine,leflunomide,sulfasalazine,anakinra,"
DDI-DrugBank.d297.s2,"The majority of patients in RA clinical studies received one or more of the following concomitant medications with ORENCIA: MTX, NSAIDs, corticosteroids, TNF blocking agents, azathioprine, chloroquine, gold, hydroxychloroquine, leflunomide, sulfasalazine, and anakinra.",DDI-DrugBank.d297.s2.p28,0,NSAIDs,sulfasalazine,129-134,241-253,"ORENCIA,MTX,NSAIDs,corticosteroids,TNF blocking agents,azathioprine,chloroquine,gold,hydroxychloroquine,leflunomide,sulfasalazine,anakinra,"
DDI-DrugBank.d297.s2,"The majority of patients in RA clinical studies received one or more of the following concomitant medications with ORENCIA: MTX, NSAIDs, corticosteroids, TNF blocking agents, azathioprine, chloroquine, gold, hydroxychloroquine, leflunomide, sulfasalazine, and anakinra.",DDI-DrugBank.d297.s2.p29,0,NSAIDs,anakinra,129-134,260-267,"ORENCIA,MTX,NSAIDs,corticosteroids,TNF blocking agents,azathioprine,chloroquine,gold,hydroxychloroquine,leflunomide,sulfasalazine,anakinra,"
DDI-DrugBank.d297.s2,"The majority of patients in RA clinical studies received one or more of the following concomitant medications with ORENCIA: MTX, NSAIDs, corticosteroids, TNF blocking agents, azathioprine, chloroquine, gold, hydroxychloroquine, leflunomide, sulfasalazine, and anakinra.",DDI-DrugBank.d297.s2.p30,0,corticosteroids,TNF blocking agents,137-151,154-172,"ORENCIA,MTX,NSAIDs,corticosteroids,TNF blocking agents,azathioprine,chloroquine,gold,hydroxychloroquine,leflunomide,sulfasalazine,anakinra,"
DDI-DrugBank.d297.s2,"The majority of patients in RA clinical studies received one or more of the following concomitant medications with ORENCIA: MTX, NSAIDs, corticosteroids, TNF blocking agents, azathioprine, chloroquine, gold, hydroxychloroquine, leflunomide, sulfasalazine, and anakinra.",DDI-DrugBank.d297.s2.p31,0,corticosteroids,azathioprine,137-151,175-186,"ORENCIA,MTX,NSAIDs,corticosteroids,TNF blocking agents,azathioprine,chloroquine,gold,hydroxychloroquine,leflunomide,sulfasalazine,anakinra,"
DDI-DrugBank.d297.s2,"The majority of patients in RA clinical studies received one or more of the following concomitant medications with ORENCIA: MTX, NSAIDs, corticosteroids, TNF blocking agents, azathioprine, chloroquine, gold, hydroxychloroquine, leflunomide, sulfasalazine, and anakinra.",DDI-DrugBank.d297.s2.p32,0,corticosteroids,chloroquine,137-151,189-199,"ORENCIA,MTX,NSAIDs,corticosteroids,TNF blocking agents,azathioprine,chloroquine,gold,hydroxychloroquine,leflunomide,sulfasalazine,anakinra,"
DDI-DrugBank.d297.s2,"The majority of patients in RA clinical studies received one or more of the following concomitant medications with ORENCIA: MTX, NSAIDs, corticosteroids, TNF blocking agents, azathioprine, chloroquine, gold, hydroxychloroquine, leflunomide, sulfasalazine, and anakinra.",DDI-DrugBank.d297.s2.p33,0,corticosteroids,gold,137-151,202-205,"ORENCIA,MTX,NSAIDs,corticosteroids,TNF blocking agents,azathioprine,chloroquine,gold,hydroxychloroquine,leflunomide,sulfasalazine,anakinra,"
DDI-DrugBank.d297.s2,"The majority of patients in RA clinical studies received one or more of the following concomitant medications with ORENCIA: MTX, NSAIDs, corticosteroids, TNF blocking agents, azathioprine, chloroquine, gold, hydroxychloroquine, leflunomide, sulfasalazine, and anakinra.",DDI-DrugBank.d297.s2.p34,0,corticosteroids,hydroxychloroquine,137-151,208-225,"ORENCIA,MTX,NSAIDs,corticosteroids,TNF blocking agents,azathioprine,chloroquine,gold,hydroxychloroquine,leflunomide,sulfasalazine,anakinra,"
DDI-DrugBank.d297.s2,"The majority of patients in RA clinical studies received one or more of the following concomitant medications with ORENCIA: MTX, NSAIDs, corticosteroids, TNF blocking agents, azathioprine, chloroquine, gold, hydroxychloroquine, leflunomide, sulfasalazine, and anakinra.",DDI-DrugBank.d297.s2.p35,0,corticosteroids,leflunomide,137-151,228-238,"ORENCIA,MTX,NSAIDs,corticosteroids,TNF blocking agents,azathioprine,chloroquine,gold,hydroxychloroquine,leflunomide,sulfasalazine,anakinra,"
DDI-DrugBank.d297.s2,"The majority of patients in RA clinical studies received one or more of the following concomitant medications with ORENCIA: MTX, NSAIDs, corticosteroids, TNF blocking agents, azathioprine, chloroquine, gold, hydroxychloroquine, leflunomide, sulfasalazine, and anakinra.",DDI-DrugBank.d297.s2.p36,0,corticosteroids,sulfasalazine,137-151,241-253,"ORENCIA,MTX,NSAIDs,corticosteroids,TNF blocking agents,azathioprine,chloroquine,gold,hydroxychloroquine,leflunomide,sulfasalazine,anakinra,"
DDI-DrugBank.d297.s2,"The majority of patients in RA clinical studies received one or more of the following concomitant medications with ORENCIA: MTX, NSAIDs, corticosteroids, TNF blocking agents, azathioprine, chloroquine, gold, hydroxychloroquine, leflunomide, sulfasalazine, and anakinra.",DDI-DrugBank.d297.s2.p37,0,corticosteroids,anakinra,137-151,260-267,"ORENCIA,MTX,NSAIDs,corticosteroids,TNF blocking agents,azathioprine,chloroquine,gold,hydroxychloroquine,leflunomide,sulfasalazine,anakinra,"
DDI-DrugBank.d297.s2,"The majority of patients in RA clinical studies received one or more of the following concomitant medications with ORENCIA: MTX, NSAIDs, corticosteroids, TNF blocking agents, azathioprine, chloroquine, gold, hydroxychloroquine, leflunomide, sulfasalazine, and anakinra.",DDI-DrugBank.d297.s2.p38,0,TNF blocking agents,azathioprine,154-172,175-186,"ORENCIA,MTX,NSAIDs,corticosteroids,TNF blocking agents,azathioprine,chloroquine,gold,hydroxychloroquine,leflunomide,sulfasalazine,anakinra,"
DDI-DrugBank.d297.s2,"The majority of patients in RA clinical studies received one or more of the following concomitant medications with ORENCIA: MTX, NSAIDs, corticosteroids, TNF blocking agents, azathioprine, chloroquine, gold, hydroxychloroquine, leflunomide, sulfasalazine, and anakinra.",DDI-DrugBank.d297.s2.p39,0,TNF blocking agents,chloroquine,154-172,189-199,"ORENCIA,MTX,NSAIDs,corticosteroids,TNF blocking agents,azathioprine,chloroquine,gold,hydroxychloroquine,leflunomide,sulfasalazine,anakinra,"
DDI-DrugBank.d297.s2,"The majority of patients in RA clinical studies received one or more of the following concomitant medications with ORENCIA: MTX, NSAIDs, corticosteroids, TNF blocking agents, azathioprine, chloroquine, gold, hydroxychloroquine, leflunomide, sulfasalazine, and anakinra.",DDI-DrugBank.d297.s2.p40,0,TNF blocking agents,gold,154-172,202-205,"ORENCIA,MTX,NSAIDs,corticosteroids,TNF blocking agents,azathioprine,chloroquine,gold,hydroxychloroquine,leflunomide,sulfasalazine,anakinra,"
DDI-DrugBank.d297.s2,"The majority of patients in RA clinical studies received one or more of the following concomitant medications with ORENCIA: MTX, NSAIDs, corticosteroids, TNF blocking agents, azathioprine, chloroquine, gold, hydroxychloroquine, leflunomide, sulfasalazine, and anakinra.",DDI-DrugBank.d297.s2.p41,0,TNF blocking agents,hydroxychloroquine,154-172,208-225,"ORENCIA,MTX,NSAIDs,corticosteroids,TNF blocking agents,azathioprine,chloroquine,gold,hydroxychloroquine,leflunomide,sulfasalazine,anakinra,"
DDI-DrugBank.d297.s2,"The majority of patients in RA clinical studies received one or more of the following concomitant medications with ORENCIA: MTX, NSAIDs, corticosteroids, TNF blocking agents, azathioprine, chloroquine, gold, hydroxychloroquine, leflunomide, sulfasalazine, and anakinra.",DDI-DrugBank.d297.s2.p42,0,TNF blocking agents,leflunomide,154-172,228-238,"ORENCIA,MTX,NSAIDs,corticosteroids,TNF blocking agents,azathioprine,chloroquine,gold,hydroxychloroquine,leflunomide,sulfasalazine,anakinra,"
DDI-DrugBank.d297.s2,"The majority of patients in RA clinical studies received one or more of the following concomitant medications with ORENCIA: MTX, NSAIDs, corticosteroids, TNF blocking agents, azathioprine, chloroquine, gold, hydroxychloroquine, leflunomide, sulfasalazine, and anakinra.",DDI-DrugBank.d297.s2.p43,0,TNF blocking agents,sulfasalazine,154-172,241-253,"ORENCIA,MTX,NSAIDs,corticosteroids,TNF blocking agents,azathioprine,chloroquine,gold,hydroxychloroquine,leflunomide,sulfasalazine,anakinra,"
DDI-DrugBank.d297.s2,"The majority of patients in RA clinical studies received one or more of the following concomitant medications with ORENCIA: MTX, NSAIDs, corticosteroids, TNF blocking agents, azathioprine, chloroquine, gold, hydroxychloroquine, leflunomide, sulfasalazine, and anakinra.",DDI-DrugBank.d297.s2.p44,0,TNF blocking agents,anakinra,154-172,260-267,"ORENCIA,MTX,NSAIDs,corticosteroids,TNF blocking agents,azathioprine,chloroquine,gold,hydroxychloroquine,leflunomide,sulfasalazine,anakinra,"
DDI-DrugBank.d297.s2,"The majority of patients in RA clinical studies received one or more of the following concomitant medications with ORENCIA: MTX, NSAIDs, corticosteroids, TNF blocking agents, azathioprine, chloroquine, gold, hydroxychloroquine, leflunomide, sulfasalazine, and anakinra.",DDI-DrugBank.d297.s2.p45,0,azathioprine,chloroquine,175-186,189-199,"ORENCIA,MTX,NSAIDs,corticosteroids,TNF blocking agents,azathioprine,chloroquine,gold,hydroxychloroquine,leflunomide,sulfasalazine,anakinra,"
DDI-DrugBank.d297.s2,"The majority of patients in RA clinical studies received one or more of the following concomitant medications with ORENCIA: MTX, NSAIDs, corticosteroids, TNF blocking agents, azathioprine, chloroquine, gold, hydroxychloroquine, leflunomide, sulfasalazine, and anakinra.",DDI-DrugBank.d297.s2.p46,0,azathioprine,gold,175-186,202-205,"ORENCIA,MTX,NSAIDs,corticosteroids,TNF blocking agents,azathioprine,chloroquine,gold,hydroxychloroquine,leflunomide,sulfasalazine,anakinra,"
DDI-DrugBank.d297.s2,"The majority of patients in RA clinical studies received one or more of the following concomitant medications with ORENCIA: MTX, NSAIDs, corticosteroids, TNF blocking agents, azathioprine, chloroquine, gold, hydroxychloroquine, leflunomide, sulfasalazine, and anakinra.",DDI-DrugBank.d297.s2.p47,0,azathioprine,hydroxychloroquine,175-186,208-225,"ORENCIA,MTX,NSAIDs,corticosteroids,TNF blocking agents,azathioprine,chloroquine,gold,hydroxychloroquine,leflunomide,sulfasalazine,anakinra,"
DDI-DrugBank.d297.s2,"The majority of patients in RA clinical studies received one or more of the following concomitant medications with ORENCIA: MTX, NSAIDs, corticosteroids, TNF blocking agents, azathioprine, chloroquine, gold, hydroxychloroquine, leflunomide, sulfasalazine, and anakinra.",DDI-DrugBank.d297.s2.p48,0,azathioprine,leflunomide,175-186,228-238,"ORENCIA,MTX,NSAIDs,corticosteroids,TNF blocking agents,azathioprine,chloroquine,gold,hydroxychloroquine,leflunomide,sulfasalazine,anakinra,"
